Shri Baba Shyam Nath Shiv Temple (Sitapur City) | Sitapur | Sitapur
Shiva Temple (Jahanpur) - Shamli/Kairana | Kairana | Shamli
Shri Satyanarayan Shiv Mandir (Bara Bazar) | Shamli | Shamli
Shiv Mandir (Kaka Nagar) | Shamli | Shamli
Shiv Mandir (Charauli) | Shamli | Shamli
Titoli Shiv Mandir | Shamli | Shamli
Sadha Shiv Mandir (Shanti Nagar) | Shamli | Shamli
Shiv Temple (Tajpur Simbhalka) | Shamli | Shamli
Shiv Mandir (Adampur) | Shamli | Shamli
Shiv Mandir (Bhoot Patti) | Shamli | Shamli
Shri Shiv Ji Temple (Rasoolpur Jatan) | Shamli | Shamli
Shiv Mandir (Kadargarh) | Shamli | Shamli
Shiv Mandir (Silawar) | Shamli | Shamli
Shiv Mandir (Karoda) | Shamli | Shamli
Shiv Mandir (Gadh Shayshtpur) - Shamli/Kairana | Kairana | Shamli
Shiv Mandir (Khusropur) | Shamli | Shamli
Shivalay Mandir (Bhora Khurd) | Shamli | Shamli
Shiv Radha Krishna Temple (Kharar) | Shamli | Shamli
Baba Vishwanath Temple (Sadar Bazar) | Shahjahanpur | Shahjahanpur
Baba Shiv Triloki Nath Dham (Paina Bujurg) | Paina Bujurg | Shahjahanpur
Trilokinath Shiv Mandir (Bijlipura) | Bijlipura | Shahjahanpur
Shri Tedheshwar Nath Temple | Shahjahanpur | Shahjahanpur
Mankameswar Mahadev Mandir (Chinnor) | Chinnor | Shahjahanpur
Baba Bankhandi Nath Mandir (Chamkani) | Chamkani | Shahjahanpur
Shiva Temple (Mishripur) | Mishripur | Shahjahanpur
Om Kaleshwar Nath Mandir (Dalel Ganj) | Shahjahanpur | Shahjahanpur
Baba Neel Kanth Shiv Mandir (Babu Ji Nagar) | Shahjahanpur | Shahjahanpur
Mahadevan Shiv Mandir - Khudaganj | Khudaganj | Shahjahanpur
Baba Anandeshwar Nath Shiv Mandir | Shahjahanpur | Shahjahanpur
Shiv Mandir - Tilhar (Sua Kheri) | Tilhar | Shahjahanpur
Shiv Mandir Baldevpur (Guteti Uttar) | Baldevpur | Shahjahanpur
Shiv Mandir Nagtara (Bilandpur) | Nagtara | Shahjahanpur
Shiv Mandir Gogepur (Sunaura) | Gogepur | Shahjahanpur
Langhoti Baba Mandir | Shahjahanpur | Shahjahanpur
Mishripur Shiv Mandir | Mishripur | Shahjahanpur
Shiv Mandir - Jalalabad | Jalalabad | Shahjahanpur
Shri Pataleshwar Shiv Mandir - Gunnaur (Sadatwari) | Gunnaur | Sambhal
Shiv Mandir (Saidpur Fatehpur Samsoi) | Sambhal | Sambhal
Dehpa Shiv Mandir (Fatehpur Dev) | Fatehpur Dev | Sambhal
Shiv Mandir (Shahjahanabad) | Shahjahanabad | Sambhal
Shri Praktashwar Mahadev Mandir (Singhpur Sani) | Singhpur Sani | Sambhal
Shiv Mandir (Bhirawati) | Bhirawati | Sambhal
Pataleshwar Shiv Mandir - Chandausi (Sakatpur Kasauli) | Chandausi | Sambhal
Shiv Temple (Dhanari) - Gunnaur | Gunnaur | Sambhal
Shiv Mandir (Chimiyawli) | Chimiyawli | Sambhal
Shivji Temple (Jianagla) | Jianagla | Sambhal
Shiv Mandir (Nooryon Sarai) | Nooryon Sarai | Sambhal
Shiv Mandir Atrasi | Atrasi | Sambhal
Kaka Soap Shiv Mandir (Brahm Bazar) | Sambhal | Sambhal
Shiv Dham Mandir (Hazrat Nagar Garhi) | Hazrat Nagar Garhi | Sambhal
Purana Shiv Mandir - Bahjoi | Bahjoi | Sambhal
Shiv Mandir (Kaima Salarpur Kalan) | Kaima Salarpur Kalan | Sambhal
Shiv Mandir (Ladm Sarai) | Ladm Sarai | Sambhal
Chndreswar Mahadev Mandir (Chandayan) | Chandayan | Sambhal
Tameshwar Nath Dham - Khalilabad | Khalilabad | Sant Kabir Nagar
Shri Shiv Mandir Kopiya (Baba Kopeshwarnath) - Khalilabad (Bakhira) | Khalilabad | Sant Kabir Nagar
Shri Bhangeshwarnath Mandir - Khalilabad (Bakhira) | Khalilabad | Sant Kabir Nagar
Shiv Mandir Dabra - Mehdawal | Mehdawal | Sant Kabir Nagar
Pakka Pokhara Shiv Mandir - Mehdawal | Mehdawal | Sant Kabir Nagar
Shri Makkeshwaram Mahadev Mandir - Mehdawal | Mehdawal | Sant Kabir Nagar
Haseswar Nath Mandir - Ghanghata (Haisheri) | Ghanghata | Sant Kabir Nagar
Natheshvar Nath Shiv Mandir - Khalilabad (Mukhlishpur) | Khalilabad | Sant Kabir Nagar
Lord Shiva Temple Mahadevpur - Khalilabad | Khalilabad | Sant Kabir Nagar
Shiv Temple (Bakaha) - Khalilabad | Khalilabad | Sant Kabir Nagar
Shiv Mandir (Hardi) - Khalilabad | Khalilabad | Sant Kabir Nagar
Shiv Mandir (Ama Pipra) - Santha | Santha | Sant Kabir Nagar
Goryabhar Shiv Mandir - Khalilabad (Karri Khas) | Khalilabad | Sant Kabir Nagar
Harihar Nath Shiv Temple - Ghanghata (Belduha) | Ghanghata | Sant Kabir Nagar
Kashi Mahadev Temple - Mehdawal | Mehdawal | Sant Kabir Nagar
Shree Sadhneshwar Naath Shiv Temple - Ghanghata | Ghanghata | Sant Kabir Nagar
Shiv Mandir (Rampur Barakoni) - Khalilabad | Khalilabad | Sant Kabir Nagar
Shiv Temple (Padaraha) - Khalilabad | Khalilabad | Sant Kabir Nagar
Yogeshar Nath Temple - Khalilabad (Bhogipur) | Khalilabad | Sant Kabir Nagar
Shri Rangewarnath Shiva Mandir - Mehdawal (Hansawa) | Mehdawal | Sant Kabir Nagar
Shri Bhuteshwar Mahadev Temple - (Sadar) | Saharanpur | Saharanpur
Bageshawar Mahadev Temple (Company Bagh) - (Sadar) | Saharanpur | Saharanpur
Shivadham Temple - (Brij Vihar) | Saharanpur | Saharanpur
Pataleshwar Mahadev Temple - (Rani Bazar) | Saharanpur | Saharanpur
Shiv Mandir - Nanauta | Nanauta | Saharanpur
Tehsil Shiv Mandir - (Haqikat Nagar) | Saharanpur | Saharanpur
Badkeshwar Mahadev Temple - Behat (Haiderpur) | Behat | Saharanpur
Shiv Temple - Behat (Islamnagar) | Behat | Saharanpur
Lord Shiva Temple - Sarsawa (Sabdalpur) | Sarsawa | Saharanpur
Mora Shiv Mandir - (Mora) | Mora | Saharanpur
Shiv Mandir - Gangoh | Gangoh | Saharanpur
Pracheen Kodiram Shiv Mandir - (Ram Jivan Nagar) | Saharanpur | Saharanpur
Shiv Chowk - Nagal | Nagal | Saharanpur
Shivji Mandir - Behat (Badshahi Bagh) | Behat | Saharanpur
Shiv Mandir Khera Afgan - Nakur | Nakur | Saharanpur
Shiv Mandir Chandi - Muzaffarabad | Muzaffarabad | Saharanpur
Shiv Mandir - Deoband (Chimmipwara) | Deoband | Saharanpur
Shiv Mandir - Rampur Maniharan (Shiv Puri) | Rampur Maniharan | Saharanpur
Shivmandir Alipura - (Alipura) | Alipura | Saharanpur
Sidhh Indreshwar Mahadev - Behat (Bhuradev) | Behat | Saharanpur
Shiv Mandir Rathonda - Shahabad | Shahabad | Rampur
Pataleshwar Mahadev Temple (Bhamraua) - Sadar | Rampur | Rampur
Mahakaal Shiv Mandir - Shahabad | Shahabad | Rampur
Shree Vaidhnath Dham - Sadar | Rampur | Rampur
Old Lord Shiva Temple - Milak (Pranpura) | Milak | Rampur
Shiv Mandir (Barhpura Sharqi) - Sadar | Rampur | Rampur
Mota-Mahadev Mandir - Sadar | Rampur | Rampur
Shiv Mandir Punjabnagar - Sadar | Rampur | Rampur
Shiv Mandir (Bara Khas) - Sadar | Rampur | Rampur
Pataleshwar Shiv Temple Lakhna Khera - Milak | Milak | Rampur
Shiv Leela Temple - Milak (Baboora) | Milak | Rampur
Shree Shiv Guru Gorakhnath Dham (Madi) - Sadar | Rampur | Rampur
Shiv Mandir (Kamora) - Milak | Milak | Rampur
Bhanvareshvar Mandir - Sudauli | Sudauli | Rampur
Prachin Shiv Temple - Suar | Suar | Rampur
Shiv Mandir (Mannu Nagar) - Sadar | Rampur | Rampur
Tiwari Bale Baba Shiv Mandir - Milak | Milak | Rampur
Shri Bhole Nath Mandir (Sihari) - Milak | Milak | Rampur
Shiv Ji Temple - Sadar (Sai Vihar) | Rampur | Rampur
Bhawreshwar/Bhanvareshwar Mandir - Bachhrawan (Barenda) | Bachhrawan | Rae Bareli
Achleshwar Mahadev Mandir - Bachhrawan (Rahwa) | Bachhrawan | Rae Bareli
Shri Mrityunjay Shiv Mandir - (Sadar) | Rae Bareli | Rae Bareli
Mahakaleshwar Mandir - (Sadar) | Rae Bareli | Rae Bareli
Jhalleshvar Shiv Temple - (Mohammadpur) | Mohammadpur | Rae Bareli
Shri Jageshwar Baba Shiv Mandir - (Tikra) | Tikra | Rae Bareli
Sarveshwar Shiv Mandir - (Sadar) | Rae Bareli | Rae Bareli
Shri Sushmeswar Mahadev Temple - (Sadar) | Rae Bareli | Rae Bareli
Balheshwar Temple - Lalganj (Aihar) | Lalganj | Rae Bareli
Shri Kanjeshwar Mahadev Mandir - Harchandpur (Pastaur) | Harchandpur | Rae Bareli
Mankameshwar Mandir - Unchahar (Baherawa) | Unchahar | Rae Bareli
Budhe Nath Baba Mandir - Unchahar (Mirzapur Aihari) | Unchahar | Rae Bareli
Omkareshwar Shiv Temple - Lalganj (Sultanpur Khera) | Lalganj | Rae Bareli
Jharkhandesware Mahadev Mandir - Sareni | Sareni | Rae Bareli
Shri Suryeshwar Mahadev Mandir - Lalganj (Barha) | Lalganj | Rae Bareli
Gauri Shankar Baba Mandir - Sareni (Hamidpur) | Sareni | Rae Bareli
Narmadeshwar Mahadev Mandir - Bachhrawan | Bachhrawan | Rae Bareli
Shiv Mandir Pure Jorawer - Lalganj (Rampur Kalan) | Lalganj | Rae Bareli
Shiv Deveshwer Mahadev - Sadar (Ghuri Khera) | Rae Bareli | Rae Bareli
Shivalay Mandir Shankar Ji - Salon (Nasirabad) | Salon | Rae Bareli
Someshwar Nath Mahadev Mandir - Karchana (Arail) | Karchana | Prayagraj
Takshakeshwar Nath Temple - Sadar (Dariyabad) | Prayagraj | Prayagraj
Shankar Viman Mandapam - Sadar (Sangam Area) | Prayagraj | Prayagraj
Shivkoti Mahadev Temple - Sadar (Bakshi Bandh) | Prayagraj | Prayagraj
Dashashwamedh Temple - Sadar (Daraganj) | Prayagraj | Prayagraj
Kashi Mahadev Temple - Meja | Meja | Prayagraj
Shiv Mandir - Soraon (Kamlanagar) | Soraon | Prayagraj
Gokuleshwar Mahadev Mandir - Karchana (Arail) | Karchana | Prayagraj
Sultankeshwar Mahadev Prachin Mandir - Karchana (Arail) | Karchana | Prayagraj
Alarkeshwar Shiv Dham - Karchana (Arail) | Karchana | Prayagraj
Ram Khelawan Shiv Mandir - Sadar (Naini) | Prayagraj | Prayagraj
Shiv Mandir - Phulpur | Phulpur | Prayagraj
Shiv Mandir Bhadarpur Urf Deenapur - Soraon | Soraon | Prayagraj
Jharkhandi Mahadev Mandir - Handia | Handia | Prayagraj
Prachin Shiv Mandir - Bara | Bara | Prayagraj
Shiv Mandir - Koraon | Koraon | Prayagraj
Ghusmeshwar Nath Dham - Lalganj (Ajhara) | Lalganj | Pratapgarh
Haudeshwar Nath Mandir - Kunda (Bihar) | Kunda | Pratapgarh
Baba Belkhar Nath Dham - Patti (Khujhi Kala) | Patti | Pratapgarh
Baba Kamleshwer Nath Dham - Raniganj (Mau Jamtali) | Raniganj | Pratapgarh
Shiva Temple - Sadar (Yadavpur) | Sadar | Pratapgarh
Shree Madhaveshwar Mahadev Mandir - Kunda (Pure Madhosingh) | Kunda | Pratapgarh
Shiv Mandir Shri Shuklan Ka Purwa - Kunda | Kunda | Pratapgarh
Parmeshwar Mahadev Mandir - Raniganj (Ratipur Rajgarh) | Raniganj | Pratapgarh
Shiv Bhole Temple (Jay Mahakal) - Sadar (Vishwanathganj) | Sadar | Pratapgarh
Shri Kadeswar Mahadev - Sadar (Sarai Amma) | Sadar | Pratapgarh
Shiv Mandir Dham Barachha - Sadar (Chilbila) | Sadar | Pratapgarh
Shiv Mandir Hathaura Sarai - Raniganj | Raniganj | Pratapgarh
Divya Shiv Mandir - Sadar | Sadar | Pratapgarh
Shiv Mandir - Sadar (Harparmau) | Sadar | Pratapgarh
Shiv Shakti Dham - Kunda (Naubasta) | Kunda | Pratapgarh
Shiv Mandeer - Kunda | Kunda | Pratapgarh
Shiva Temple - Sadar (Akhayrajpur) | Sadar | Pratapgarh
Lord Shiva Temple - Sadar (Behta Sonpura) | Sadar | Pratapgarh
Baba Ikottar Nath Temple - Puranpur | Puranpur | Pilibhit
Ardhanarishwara Temple - (Sadar) | Sadar | Pilibhit
Nageshwar Mahadev Temple - (Sadar) | Sadar | Pilibhit
Shiv Mandir (Naibasti) - (Sadar) | Sadar | Pilibhit
Mahakaleshwar Nath Temple - Bisalpur | Bisalpur | Pilibhit
Sivji Temple (Tondarpur) - (Sadar) | Sadar | Pilibhit
Shiv Mandir (Kabir Ganj) - (Sadar) | Sadar | Pilibhit
Dev Sthan Shiv Temple - (Sadar) | Sadar | Pilibhit
Lilahar Shiv Temple - Puranpur | Puranpur | Pilibhit
Shiv Mandir (Amaria) - Amaria | Amaria | Pilibhit
Narmadeshwar Shiv Mandir - Puranpur | Puranpur | Pilibhit
Prachin Shiv Mandir (Gauneri Dan) - (Sadar) | Sadar | Pilibhit
Shri Shankarji Virajman Mandir - Bisalpur | Bisalpur | Pilibhit
Shiv Temple (Lamua) - Bisalpur | Bisalpur | Pilibhit
Madaha Naath Mandir - Bilsanda | Bilsanda | Pilibhit
Shiv Chowk (Mahadev Mandir) - Sadar | Sadar | Muzaffarnagar
Shiva Temple (Bhartiya Colony) - Sadar | Sadar | Muzaffarnagar
Shri Thaneshwara Mahadev Mandir - Khatauli | Khatauli | Muzaffarnagar
Shree Sarveshwar Shiv Mandir - Khatauli (Bhainsi) | Khatauli | Muzaffarnagar
Prachin Shiv Mandir - Jansath (Saifpur Firojpur) | Jansath | Muzaffarnagar
Shiv Mandir Saket - Sadar | Sadar | Muzaffarnagar
Shiv Mandir (Gandhi Colony) - Sadar | Sadar | Muzaffarnagar
Shiv Mandir (Chhapar) - Sadar | Sadar | Muzaffarnagar
Old Shiv Temple (Sher Nagar) - Sadar | Sadar | Muzaffarnagar
Shiv Mandir (Krishnapuri) - Sadar | Sadar | Muzaffarnagar
Prachine Shree Shiv Shakti Mandir - Khatauli (Satheri) | Khatauli | Muzaffarnagar
Shiv Mandir (Ghatayan) - Khatauli | Khatauli | Muzaffarnagar
Panchmukhi Mahadev Mandir - Jansath (Miranpur) | Jansath | Muzaffarnagar
Ratneshwar Mahadev Shiv Dham - Jansath (Shukratal) | Jansath | Muzaffarnagar
Shiv Mander (Rohana Kalan) - Sadar | Sadar | Muzaffarnagar
Shiv Mandir (Charauli) - Sadar | Sadar | Muzaffarnagar
Shiv Mandir (Purmafi) - Sadar | Sadar | Muzaffarnagar
Mahadev Mandir - Charthawal | Charthawal | Muzaffarnagar
Sisona Shiv Mandir - Sadar | Sadar | Muzaffarnagar
Mahakaleshwar Dham Om Enclave - Sadar (New Moradabad) | Sadar | Moradabad
Kailash Mansarovar Shiv Mandir - Sadar (Delhi Road) | Sadar | Moradabad
Rinmukteshwar Mahadev Mandir - Sadar (Buddhi Vihar) | Sadar | Moradabad
Chinta Haran Mahadev Mandir - Sadar (Adarsh Colony) | Sadar | Moradabad
Shiv Mandir (Double Phatak) - Sadar | Sadar | Moradabad
Tryambkeshwar Mandir - Sadar (Kashiram Nagar) | Sadar | Moradabad
Bada Shiv Temple - Sadar (Vikas Nagar) | Sadar | Moradabad
Prakateshwar Shiv Mandir - Kanth | Kanth | Moradabad
Shiv Sahai Mandir - Sadar (Pakwara) | Sadar | Moradabad
Ardhanarishvari Shiv Mandir - Sadar (Himgiri Colony) | Sadar | Moradabad
Shiv Mandir (Govind Nagar) - Sadar | Sadar | Moradabad
Lord Shiva Temple - Sadar (Ashiyana Colony) | Sadar | Moradabad
Pracheen Shiv Mandir - Sadar (Ratanpur Kalan) | Sadar | Moradabad
Shiv Mandir (Bagadpur) - Sadar | Sadar | Moradabad
Pipal Wala Mandir Shiv - Sadar (Azad Nagar) | Sadar | Moradabad
Shiv Mandir (Machhariya) - Sadar | Sadar | Moradabad
Prachin Shiv Mandir Milak - Sadar | Sadar | Moradabad
Jhagra Jeet Mandir - Sadar (Pakwara) | Sadar | Moradabad
Shiv Manokamna Mandir - Sadar (Harthala) | Sadar | Moradabad
Maa Durga Shiv Shakti Mandir - Sadar (Majhola) | Sadar | Moradabad
Rameshwar Mahadev Temple - Vindhyachal (Shivpur) | Vindhyachal | Mirzapur
Gangeshwar Mahadev Temple - Sadar (Malviya Nagar) | Sadar | Mirzapur
Tarakeshwar Mahadev Mandir - Sadar (Wellesly Ganj) | Sadar | Mirzapur
Bhuwaneshwar Mahadev (Hardaul Lala Temple) - Sadar (Ganesh Ganj) | Sadar | Mirzapur
Baba Badewra Nath Dham - Lalganj (Jigna) | Lalganj | Mirzapur
The Shiva Temple-Kotar Nath - Lalganj (Sarahara) | Lalganj | Mirzapur
Gjanand Mahadev Mandir - Sadar (Bharuhana) | Sadar | Mirzapur
Shiv Lok Shiv Temple - Sadar (Kapsaur) | Sadar | Mirzapur
Panch Mukhi Mahadev - Chunar | Chunar | Mirzapur
Shree Narmadeshwar Mahadev Mandir - Chunar | Chunar | Mirzapur
Viseshwarnath Jagguram Mahadev Temple - Sadar (Gosain Tola) | Sadar | Mirzapur
Prachin Shiv Mandir - Sadar (Ghatampur) | Sadar | Mirzapur
Shiv Mandir - Marihan (Padari Thana) | Marihan | Mirzapur
Baba Vishvanath Temple - Sadar (Rajpur Ahungi Kalan) | Sadar | Mirzapur
Sankat Mochan Shiv Mandir - Sadar (Ramaipatti) | Sadar | Mirzapur
Billeshwarnath Mandir | Sadar | Meerut
Parshurameshwar Mahadev Mandir - (Shastri Nagar) | Sadar | Meerut
Bada Mahadev Mandir - Mawana | Mawana | Meerut
Jharkhandeshwar Mahadev Mandir - (Mataur) | Sadar | Meerut
Sakoti Shiv Mandir - Mawana | Mawana | Meerut
Fatehpur Shiv Mandir - Sardhana (Dabathwa) | Sardhana | Meerut
Shiv Mandir (Thapar Nagar) | Sadar | Meerut
Kabari Bazar Shiv Mandir | Sadar | Meerut
Jharkhandi Mandir - Mawana | Mawana | Meerut
Sacha Mahadev Mandir - (Shastri Nagar) | Sadar | Meerut
Shree Bholeshwar Mandir - (Shastri Nagar) | Sadar | Meerut
Shiv Shakti Dham Mandir - (Janakpuri) | Sadar | Meerut
Nav Shiv Mandir - Mawana | Mawana | Meerut
Shiv Temple - Mawana (Akbarpur Garhi) | Mawana | Meerut
Shiv Mandir - (Gunj Bazar) | Sadar | Meerut
